id,fio,login,password,phone
6429,Ларионов Венедикт Георгьевич,Kashi,wxc4HGvFww,+7(495)624-11-54
54874,Рыбаков Терентий Юрьевич,Hans,kJ8xvK74DR,+7(495)527-35-73
36913,Орехов Ярослав Мартынович,Liagothad,reXCyC39PO,+7(495)165-26-29
35277,Емельянов Донат Станиславович,Garli,2vSLn5wwfg,+7(495)353-88-26
18520,Мухин Егор Натанович,Dinjeferej,iectDIY2cy,+7(495)516-77-18
1586789789789898,Капустин Архип Давидович,Jahilsuntu,NCkM8EI3dT,+7(495)465-94-82
63073,Белов Кондрат Владленович,Lohethereb,kYTZJEOlg4,+7(495)578-29-86
37803,Киселёв Адольф Богуславович,Sakisepito,xse1CV1Csl,+7(495)301-23-87
23306,Зиновьев Ростислав Георгиевич,Elinfousar,q0ngQ2lOum,+7(495)945-76-49
30193,Афанасьев Олег Семёнович,Giok,jQTQt1VAG2,+7(495)150-54-21
16509,Зыков Эдуард Миронович,Wnsebaylen,zYFSiqxwzQ,+7(4935)00208-93
7428,ВладимировИгорьДмитрьевич,Bren,dIj7oxWWBl,+7(495)954-23-21
21153,Пахомов_Яков Арсеньевич,Llaitust,OyVewa9oWn,+7(495)770-42-05
11751,Абрамов Зиновий Данилович,Mali,Ze7DTmg8QV,+7(495)559-98-09
31893,Комаров Георгий Павлович,Aneitawra,PvDNQRCv1q,+7(495)118-90-21
6784,Пономарёв Рудольф Эдуардович,Reharish,HRAR3k7fjZ,+7(495)762-09-44
34002,Воробьёв Вилен Федосеевич,Manicor,Wx163Zcw0C,+7(495)140-34-66
16257,Логинов Платон Богданович,Giandenn,ASyscn1Kg3,+7(495)169-07-88
6107,Яковлев Назарий Аркадьевич,Uannovive,9MifH1MdRs,+7(495)977-09-90
54509_,Фомичёв Игнатий Дмитриевич,Keenobels,Z1M8AOCrBx,+7(495)527-46-21
